prior,cross_coupling,side_information,arm,events,unique_summary_scalars,total_gap_nats,total_gap_nats_lo,total_gap_nats_hi,compression_nats,fitting_nats,epsilon_predictor_gap,coverage_50,coverage_80,coverage_90,gain_over_diag_nats,gain_over_diag_nats_lo,gain_over_diag_nats_hi
mixture,0.45,coarse,diag_exact,6144,8,0.08928329561,0.08498636994,0.09336430839,0.08928329561,0,0.03631660066,0.4985046387,0.7996724447,0.9009399414,0,0,0
mixture,0.45,coarse,diag_plugin,6144,8,0.2103266108,0.2051102277,0.2156117836,0.08928329561,0.1210433152,0.08205688358,0.4705810547,0.7691955566,0.8764241536,-0.1210433152,-0.126594399,-0.1155167747
mixture,0.45,coarse,block_exact,6144,10,0.03720488274,0.03454573042,0.03972263218,0.03720488274,0,0.01520617703,0.4990844727,0.7996114095,0.9011332194,0.05207841287,0.04896801507,0.05528313683
mixture,0.45,coarse,block_plugin,6144,10,0.07527869648,0.0726600701,0.07803577979,0.03720488274,0.03807381374,0.03004287817,0.4870605469,0.7882588704,0.8920288086,0.01400459914,0.009702673029,0.01819062823
mixture,0.45,full_operator,full_exact,6144,14,0,0,0,0,0,0,0.4996948242,0.7993164062,0.9011433919,0,0,0
mixture,0.45,full_operator,diag_exact,6144,8,0,0,0,0,0,0,0.4996948242,0.7993164062,0.9011433919,0,0,0
mixture,0.45,full_operator,diag_plugin,6144,8,-6.09863722e-18,-2.124708739e-17,8.621101337e-18,0,-6.09863722e-18,2.148252365e-31,0.4996948242,0.7993164062,0.9011433919,6.09863722e-18,-8.621101337e-18,2.124708739e-17
mixture,0.45,full_operator,block_exact,6144,10,0,0,0,0,0,0,0.4996948242,0.7993164062,0.9011433919,0,0,0
mixture,0.45,full_operator,block_plugin,6144,10,-6.09863722e-18,-2.124708739e-17,8.621101337e-18,0,-6.09863722e-18,2.148252365e-31,0.4996948242,0.7993164062,0.9011433919,6.09863722e-18,-8.621101337e-18,2.124708739e-17
mixture,0.8,coarse,full_exact,6144,14,0,0,0,0,0,0,0.499013265,0.7994181315,0.9004414876,0.06114150531,0.05740356781,0.06502712701
mixture,0.8,coarse,diag_exact,6144,8,0.06114150531,0.05740356781,0.06502712701,0.06114150531,0,0.02640393521,0.4994608561,0.80078125,0.9001261393,0,0,0
mixture,0.8,coarse,diag_plugin,6144,8,0.3677400957,0.3596179024,0.3757281399,0.06114150531,0.3065985904,0.1443093381,0.4493916829,0.7459513346,0.8588663737,-0.3065985904,-0.3148280073,-0.2983519569
mixture,0.8,coarse,block_exact,6144,10,0.02432568928,0.02182152264,0.02673219822,0.02432568928,0,0.01107295635,0.4993489583,0.7998962402,0.9005432129,0.03681581603,0.03401361964,0.03967341082
mixture,0.8,coarse,block_plugin,6144,10,0.2388635808,0.2331569897,0.2441942393,0.02432568928,0.2145378915,0.0948661077,0.4625345866,0.7619018555,0.8726196289,-0.1777220755,-0.1839267145,-0.1712318094
mixture,0.8,full_operator,full_exact,6144,14,0,0,0,0,0,0,0.499013265,0.7994181315,0.9004414876,0,0,0
mixture,0.8,full_operator,diag_exact,6144,8,0,0,0,0,0,0,0.499013265,0.7994181315,0.9004414876,0,0,0
mixture,0.8,full_operator,diag_plugin,6144,8,6.706964989e-16,6.538677613e-16,6.87488193e-16,0,6.706964989e-16,3.524632838e-31,0.499013265,0.7994181315,0.9004414876,-6.706964989e-16,-6.87488193e-16,-6.538677613e-16
mixture,0.8,full_operator,block_exact,6144,10,0,0,0,0,0,0,0.499013265,0.7994181315,0.9004414876,0,0,0
mixture,0.8,full_operator,block_plugin,6144,10,6.706964989e-16,6.538677613e-16,6.87488193e-16,0,6.706964989e-16,3.524632838e-31,0.499013265,0.7994181315,0.9004414876,-6.706964989e-16,-6.87488193e-16,-6.538677613e-16
